date,corridor,event_intensity,tone_severity,news_volume_spike,price_volatility
2019-05-19,hormuz,50.0,62.64,50.0,35.07
2019-05-20,hormuz,50.0,71.55,50.0,35.07
2019-06-24,hormuz,50.0,70.54,50.0,41.84
2019-07-10,hormuz,50.0,71.48,50.0,43.58
2019-07-12,hormuz,50.0,67.9,50.0,48.94
2019-07-21,hormuz,50.0,69.48,50.0,47.53
2026-02-12,hormuz,50.0,80.99,50.0,46.44
2026-02-17,hormuz,50.0,73.78,50.0,42.66
2026-02-20,hormuz,50.0,65.87,50.0,41.1
2026-02-23,hormuz,45.0,49.88,46.05,45.72
2026-02-24,hormuz,40.45,58.44,42.35,48.51
2026-02-26,hormuz,36.29,60.67,38.87,41.86
2026-02-27,hormuz,37.44,62.34,39.52,33.72
2026-02-28,hormuz,51.51,60.94,52.53,26.49
2026-03-01,hormuz,51.23,67.68,72.68,26.46
2026-03-02,hormuz,50.91,73.78,85.05,50.97
2026-03-03,hormuz,37.47,77.05,74.76,75.49
2026-03-04,hormuz,38.21,73.09,63.08,100.0
2026-03-05,hormuz,38.87,72.05,54.8,100.0
2026-03-07,hormuz,53.62,64.82,72.45,100.0
2026-03-08,hormuz,73.99,63.55,78.14,100.0
2026-03-09,hormuz,72.95,63.99,77.64,100.0
2026-03-10,hormuz,57.77,68.04,59.67,100.0
2026-03-11,hormuz,36.94,72.1,48.53,98.22
2026-03-12,hormuz,37.49,73.1,55.08,98.22
2026-03-13,hormuz,37.99,74.65,54.01,95.65
2026-03-14,hormuz,38.45,69.69,51.32,94.86
2026-03-15,hormuz,38.88,69.82,43.08,92.28
2026-03-16,hormuz,57.09,68.46,44.96,92.69
2026-03-17,hormuz,56.91,71.7,47.62,89.68
2026-03-18,hormuz,75.53,68.67,47.63,87.25
2026-03-19,hormuz,57.0,71.1,47.69,85.69
2026-03-20,hormuz,56.85,74.8,55.88,89.0
2026-03-21,hormuz,37.87,79.12,54.77,91.72
2026-03-22,hormuz,38.23,72.09,51.84,93.16
2026-03-23,hormuz,38.57,74.07,60.8,95.44
2026-03-24,hormuz,38.88,64.3,63.54,96.33
2026-03-25,hormuz,39.18,70.26,79.67,92.68
2026-03-26,hormuz,39.47,64.29,61.08,85.95
2026-03-27,hormuz,39.74,70.76,77.5,80.95
2026-03-28,hormuz,40.0,62.39,64.6,80.5
2026-03-29,hormuz,40.24,59.69,64.53,80.85
2026-03-30,hormuz,40.47,56.0,47.54,63.83
2026-03-31,hormuz,40.69,66.84,46.16,46.66
2026-04-01,hormuz,40.91,66.77,46.42,36.77
