date,corridor,event_intensity,tone_severity,news_volume_spike,price_volatility,disruption_label,disruption_label_source
2019-05-19,hormuz,50.0,62.64,50.0,35.07,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2019-05-20,hormuz,50.0,71.55,50.0,35.07,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2019-06-24,hormuz,50.0,70.54,50.0,41.84,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2019-07-10,hormuz,50.0,71.48,50.0,43.58,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2019-07-12,hormuz,50.0,67.9,50.0,48.94,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2019-07-21,hormuz,50.0,69.48,50.0,47.53,1,"2019 Hormuz tanker campaign; dates cover Fujairah sabotage, Gulf of Oman attacks, and Stena Impero seizure. Sources: UK Government, CNN, Wikipedia."
2026-02-12,hormuz,50.0,80.99,50.0,46.44,0,
2026-02-17,hormuz,50.0,73.78,50.0,42.66,0,
2026-02-20,hormuz,50.0,65.87,50.0,41.1,0,
2026-02-23,hormuz,45.0,49.88,46.05,45.72,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-02-24,hormuz,40.45,58.44,42.35,48.51,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-02-26,hormuz,36.29,60.67,38.87,41.86,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-02-27,hormuz,37.44,62.34,39.52,33.72,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-02-28,hormuz,51.51,60.94,52.53,26.49,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-01,hormuz,51.23,67.68,72.68,26.46,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-02,hormuz,50.91,73.78,85.05,50.97,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-03,hormuz,37.47,77.05,74.76,75.49,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-04,hormuz,38.21,73.09,63.08,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
2026-03-05,hormuz,38.87,72.05,54.8,100.0,1,"2026 Strait of Hormuz crisis, ongoing at collection time. Source: cited crisis timeline and independent reporting."
