date,event_count,goldstein_weighted_sum,avg_goldstein,avg_tone,article_count,corridor
2019-05-19,1,-10.0,-10.0,-2.52707581227437,1,hormuz
2019-05-20,1,-10.0,-10.0,-6.09137055837563,1,hormuz
2019-06-24,,,,-3.7032204186022204,2,hormuz
2019-07-10,,,,-3.09253638044382,2,hormuz
2019-07-12,,,,-3.9451114922813,1,hormuz
2019-07-21,2,-14.4,-7.2,-4.64767616191904,1,hormuz
2026-02-12,,,,-10.3404791929382,1,hormuz
2026-02-17,3,-21.6,-7.2,0.37877389260175476,3,hormuz
2026-02-20,,,,0.10112364391513487,3,hormuz
2026-02-23,,,,-0.405561993047509,1,hormuz
2026-02-24,,,,-4.76190476190476,1,hormuz
2026-02-26,,,,-1.23456790123457,1,hormuz
2026-02-27,,,,-1.40845070422535,1,hormuz
2026-02-28,1,-10.0,-10.0,-3.92016207636114,3,hormuz
2026-03-01,,,,-5.2810509953069475,11,hormuz
2026-03-02,,,,-5.066035396075005,7,hormuz
2026-03-03,,,,-5.8849420440978655,2,hormuz
2026-03-04,,,,-2.9009595674270643,5,hormuz
2026-03-05,,,,-4.441855189959347,3,hormuz
2026-03-07,1,-10.0,-10.0,-1.550693489940412,29,hormuz
2026-03-08,5,-50.0,-10.0,-2.134618396924668,18,hormuz
2026-03-09,,,,-4.708304107518602,5,hormuz
2026-03-10,,,,-3.979847861329343,3,hormuz
2026-03-11,,,,-4.571523322198858,4,hormuz
2026-03-12,,,,-5.31047710916769,13,hormuz
2026-03-13,,,,-4.910434750580115,2,hormuz
2026-03-14,,,,-1.59574468085106,1,hormuz
2026-03-15,,,,-5.38589004493657,3,hormuz
2026-03-16,2,-17.2,-8.6,-4.091683124736718,4,hormuz
2026-03-17,,,,-3.5434059162495477,4,hormuz
2026-03-18,3,-21.6,-7.2,-3.5663612452125735,3,hormuz
2026-03-19,,,,-5.547900996921007,4,hormuz
2026-03-20,,,,-5.7664812706283195,13,hormuz
2026-03-21,,,,-6.15866388308977,2,hormuz
2026-03-22,,,,-1.3262599469496,1,hormuz
2026-03-23,,,,-6.954904111750392,43,hormuz
2026-03-24,,,,-0.29852709852709913,6,hormuz
2026-03-25,,,,-4.905488233272909,27,hormuz
2026-03-26,,,,-3.3683677622517734,3,hormuz
2026-03-27,,,,-4.1816332677113115,146,hormuz
2026-03-28,,,,0.11371682135500766,9,hormuz
2026-03-29,,,,-1.74793008279669,1,hormuz
2026-03-30,,,,-1.9641532508193573,8,hormuz
2026-03-31,,,,-6.39286296647116,3,hormuz
2026-04-01,,,,-1.70209240250085,2,hormuz
2026-04-02,,,,-2.8378815134710518,23,hormuz
2026-04-03,,,,-3.263745407774783,6,hormuz
2026-04-04,,,,-5.522910006780975,2,hormuz
2026-04-05,,,,-2.23820943245404,1,hormuz
2026-04-06,1,-6.5,-6.5,-3.730415880567635,2,hormuz
2026-04-08,,,,-7.14285714285714,1,hormuz
2026-04-09,,,,-2.123536632687665,3,hormuz
2026-04-10,,,,-3.5110564206058337,5,hormuz
2026-04-11,2,-18.0,-9.0,-2.588371467351853,31,hormuz
